icd10;text
N91.4;Wtórne skąpe i rzadkie miesiączki
N91.5;Miesiączki skąpe lub rzadkie, nieokreślone
N92.0;Obfite i częste miesiączki regularne
N92.1;Obfite i częste miesiączki nieregularne
N92.2;Obfite krwawienia okresu pokwitania
N92.3;Krwawienie owulacyjne (związane z jajeczkowaniem)
N92.4;Obfite krwawienie w okresie przedmenopauzalnym
N92.5;Inne określone nieregularne miesiączki
N92.6;Nieregularne miesiączki, nieokreślone
N93.0;Krwawienie po stosunku płciowym i krwawienie kontaktowe
N93.8;Inne określone nieprawidłowe krwawienie maciczne i pochwowe
N93.9;Nieprawidłowe krwawienia maciczne i pochwowe, nieokreślone
N94.0;Ból międzymiesiączkowy (mittelschmerz)
N94.1;Bolesne współżycie płciowe (dyspaurenia)
N94.2;Pochwica
N94.3;Zespół napięcia przedmiesiączkowego
N94.4;Pierwotne bolesne miesiączkowanie
N94.5;Wtórne bolesne miesiączkowanie
N94.6;Bolesne miesiączkowanie, nieokreślone
N94.8;Inne określone stany związane z żeńskimi narządami płciowymi i cyklem miesiączkowym
N94.9;Nie określony stan związany z żeńskimi narządami płciowymi i cyklem miesiączkowym
N95.0;Krwawienie pomenopauzalne
N95.1;Stany związane z okresem przekwitania u kobiet
N95.2;Pomenopauzalne zanikowe zapalenie pochwy
N95.3;Stany związane ze sztuczną menopauzą
N95.8;Inne określone schorzenia związane z przekwitaniem i z okresem okołomenopauzalnym
N95.9;Zaburzenie okresu przekwitania, nieokreślone
N96;Kobieta roniąca nawykowo
N97.0;Niepłodność kobieca związana z brakiem jajeczkowania
N97.1;Niepłodność kobieca pochodzenia jajowodowego
N97.2;Niepłodność kobieca pochodzenia macicznego
N97.3;Niepłodność kobieca pochodzenia szyjkowego
N97.4;Niepłodność kobieca związana z czynnikami męskimi
N97.8;Niepłodność kobieca innego pochodzenia
N97.9;Niepłodność kobieca, nieokreślona
N98.0;Zakażenie związane ze sztucznym zapłodnieniem
N98.1;Nadmierna stymulacja jajników
N99.0;Pozabiegowa niewydolność nerek
N99.1;Pozabiegowe zwężenie cewki moczowej
N99.2;Pooperacyjne zrosty pochwowe
N99.3;Wypadanie sklepienia pochwy po usunięciu macicy
N99.4;Pozabiegowe zrosty otrzewnej miednicy
N99.5;Nieprawidłowa czynność cewki moczowej
N99.8;Inne pozabiegowe schorzenia układu moczowo-płciowego
N99.9;Pozabiegowe zaburzenie układu moczowo-płciowego, nieokreślone
O00.0;Ciąża brzuszna
O00.1;Ciąża jajowodowa
O00.2;Ciąża jajnikowa
O00.8;Inna ciąża pozamaciczna
O00.9;Ciąża pozamaciczna, nieokreślona
O01.0;Klasyczny zaśniad groniasty
O01.1;Niezupełny lub częściowy zaśniad groniasty
O01.9;Zaśniad groniasty, nieokreślony
O02.0;Puste jajo płodowe i zaśniad nie-groniasty
O02.1;Poronienie chybione
O02.8;Inne określone nieprawidłowe jajo płodowe
O02.9;Nieprawidłowe jajo płodowe, nieokreślone
O03.0;Poronienie samoistne niezupełne, powikłane zakażeniem dróg rodnych i narządów miednicy mniejszej (ze stanami w O08.0)
O03.1;Poronienie samoistne niezupełne, powikłane długotrwałym lub nadmiernym krwawieniem (ze stanami w O08.1)
O03.2;Poronienie samoistne niezupełne, powikłane zatorem (ze stanami w O08.2)
O03.3;Poronienie samoistne niezupełne, z innymi i nieokreślonymi powikłaniami (ze stanami w O08.3-O08.9)
O03.4;Poronienie samoistne niezupełne, bez powikłań
O03.5;Poronienie samoistne zupełne lub nie określone, powikłane zakażeniem dróg rodnych lub narządów miednicy mniejszej (ze stanami w O08.0)
O03.6;Poronienie samoistne zupełne lub nie określone, powikłane długotrwałym lub nadmiernym krwawieniem (ze stanami w O08.1)
O03.7;Poronienie samoistne zupełne lub nie określone, powikłane zatorem (ze stanami w O08.2)
O03.8;Poronienie samoistne zupełne lub nie określone, z innymi lub nie określonymi powikłaniami (ze stanami w O08.3-O08.9)
O03.9;Poronienie samoistne zupełne lub nie określone, bez powikłań
O04.0;Poronienie sztuczne (wywołane przez lekarza) niezupełne, powikłane zakażeniem dróg rodnych i narządów miednicy mniejszej (ze stanami w O08.0)
O04.1;Poronienie sztuczne (wywołane przez lekarza) niezupełne, powikłane długotrwałym lub nadmiernym krwawieniem (ze stanami w O08.1)
O04.2;Poronienie sztuczne (wywołane przez lekarza) niezupełne, powikłane zatorem (ze stanami w O08.2)
O04.3;Poronienie sztuczne (wywołane przez lekarza) niezupełne, z innymi i nieokreślonymi powikłaniami (ze stanami w O08.3-O08.9)
O04.4;Poronienie sztuczne (wywołane przez lekarza) niezupełne, bez powikłań
O04.5;Poronienie sztuczne (wywołane przez lekarza) zupełne lub nie określone, powikłane zakażeniem dróg rodnych lub narządów miednicy mniejszej (ze stanami w O08.0)
O04.6;Poronienie sztuczne (wywołane przez lekarza) zupełne lub nie określone, powikłane długotrwałym lub nadmiernym krwawieniem (ze stanami w O08.1)
O04.7;Poronienie sztuczne (wywołane przez lekarza) zupełne lub nie określone, powikłane zatorem (ze stanami w O08.2)
O04.8;Poronienie sztuczne (wywołane przez lekarza) zupełne lub nie określone, z innymi lub nie określonymi powikłaniami (ze stanami w O08.3-O08.9)
O04.9;Poronienie sztuczne (wywołane przez lekarza) zupełne lub nie określone, bez powikłań
O05.0;Inne poronienie niezupełne, powikłane zakażeniem dróg rodnych i narządów miednicy mniejszej (ze stanami w O08.0)
O05.1;Inne poronienie niezupełne, powikłane długotrwałym lub nadmiernym krwawieniem (ze stanami w O08.1)
O05.2;Inne poronienie niezupełne, powikłane zatorem (ze stanami w O08.2)
O05.3;Inne poronienie niezupełne, z innymi i nieokreślonymi powikłaniami (ze stanami w O08.3-O08.9)
O05.4;Inne poronienie niezupełne, bez powikłań
O05.5;Inne poronienie zupełne lub nie określone, powikłane zakażeniem dróg rodnych lub narządów miednicy mniejszej (ze stanami w O08.0)
O05.6;Inne poronienie zupełne lub nie określone, powikłane długotrwałym lub nadmiernym krwawieniem (ze stanami w O08.1)
O05.7;Inne poronienie zupełne lub nie określone, powikłane zatorem (ze stanami w O08.2)
O05.8;Inne poronienie zupełne lub nie określone, z innymi lub nie określonymi powikłaniami (ze stanami w O08.3-O08.9)
O05.9;Inne poronienie zupełne lub nie określone, bez powikłań
O06.0;Poronienie, nieokreślone niezupełne, powikłane zakażeniem dróg rodnych i narządów miednicy mniejszej (ze stanami w O08.0)
O06.1;Poronienie, nieokreślone niezupełne, powikłane długotrwałym lub nadmiernym krwawieniem (ze stanami w O08.1)
O06.2;Poronienie, nieokreślone niezupełne, powikłane zatorem (ze stanami w O08.2)
O06.3;Poronienie, nieokreślone niezupełne, z innymi i nieokreślonymi powikłaniami (ze stanami w O08.3-O08.9)
O06.4;Poronienie, nieokreślone niezupełne, bez powikłań
O06.5;Poronienie, nieokreślone zupełne lub nie określone, powikłane zakażeniem dróg rodnych lub narządów miednicy mniejszej (ze stanami w O08.0)
O06.6;Poronienie, nieokreślone zupełne lub nie określone, powikłane długotrwałym lub nadmiernym krwawieniem (ze stanami w O08.1)
O06.7;Poronienie, nieokreślone zupełne lub nie określone, powikłane zatorem (ze stanami w O08.2)
O06.8;Poronienie, nieokreślone zupełne lub nie określone, z innymi lub nie określonymi powikłaniami (ze stanami w O08.3-O08.9)
O06.9;Poronienie, nieokreślone zupełne lub nie określone, bez powikłań
O08.0;Zakażenia dróg rodnych i narządów miednicy w następstwie poronienia, ciąży pozamacicznej i zaśniadu groniastego
O08.1;Długotrwałe lub nadmierne krwawienie w następstwie poronienia, ciąży pozamacicznej i zaśniadu groniastego
O08.2;Zator w następstwie poronienia, ciąży pozamacicznej i zaśniadu groniastego
O08.3;Wstrząs w następstwie poronienia, ciąży pozamacicznej i zaśniadu groniastego
O08.4;Niewydolność nerek w następstwie poronienia, ciąży pozamacicznej i zaśniadu groniastego
O08.5;Zaburzenia przemiany materii w następstwie poronienia, ciąży pozamacicznej i zaśniadu groniastego
O08.6;Uszkodzenie narządów i tkanek miednicy w następstwie poronienia, ciąży pozamacicznej i zaśniadu groniastego
O08.8;Inne powikłania w następstwie poronienia, ciąży pozamacicznej i zaśniadu groniastego
O08.9;Powikłanie poronienia, ciąży pozamacicznej i zaśniadu groniastego, nieokreślone
O10.0;Istniejące uprzednio nadciśnienie samoistne wikłające ciążę, poród i połóg
O10.1;Isniejąca uprzednio choroba nadciśnieniowa serca wikłająca ciążę, poród i połóg
O10.2;Istniejąca uprzednio choroba nadciśnieniowa nerek wikłająca ciążę, poród i połóg
O10.3;Istniejąca uprzednio choroba nadciśnieniowa serca i nerek wikłająca ciążę, poród i połóg
O10.4;Istniejące uprzednio wtórne nadciśnienie wikłające ciążę, poród i połóg
O11;Istniejące uprzednio nadciśnienie z dołączającym się białkomoczem
O12.0;Obrzęki ciążowe
O12.1;Białkomocz ciążowy
O12.3;Obrzęki ciążowe z białkomoczem
O13;Nadciśnienie ciążowe (wywołane ciążą) bez znamiennego białkomoczu
O14.0;Umiarkowany stan przedrzucawkowy
O14.1;Ciężki stan przedrzucawkowy
O15.0;Rzucawka w przebiegu ciąży
O15.1;Rzucawka w przebiegu czynności porodowej
O15.2;Rzucawka w przebiegu połogu
O15.9;Rzucawka nieokreślona co do czasu wystąpienia
O16;Nieokreślone nadciśnienie u ciężarnej
O20.0;Poronienie zagrażające
O20.8;Inny krwotok we wczesnym okresie ciąży
O21.0;Łagodne niepowściągliwe wymioty ciężarnych
O21.1;Niepowściągliwe wymioty ciężarnych z zaburzeniami przemiany materii
O21.2;Późne wymioty ciężarnych
O21.9;Wymioty ciężarnych, nieokreślone
O22.0;Żylaki kończyn dolnych w ciąży
O22.1;Żylaki narządów płciowych w ciąży
O22.2;Zakrzepowe zapalenia żył powierzchownych w ciąży
O22.3;Zakrzepica żył głębokich w ciąży
O22.4;Guzy krwawnicowe w ciąży
O22.5;Zakrzepica żył mózgowych w ciąży
O23.0;Zakażenia nerek w ciąży
O23.1;Zakażenia pęcherza moczowego w ciąży
O23.5;Zakażenia dróg rodnych w ciąży
O24.0;Istniejąca uprzednio cukrzyca insulinozależna
O24.3;Istniejąca uprzednio cukrzyca, nieokreślona
O24.4;Cukrzyca pojawiająca się w ciąży
O24.9;Cukrzyca w ciąży bno
O26.6;Zaburzenia wątrobowe w ciąży, porodzie i połogu
O29.0;Powikłania płucne znieczulenia w czasie ciąży
O29.1;Powikłania sercowe znieczulenia w czasie ciąży
O29.2;Powikłania znieczulenia w czasie ciąży ze strony ośrodkowego układu nerwowego
O29.3;Toksyczne reakcje na środki znieczulenia miejscowego w czasie ciąży
O30.0;Ciąża bliźniacza
O30.1;Ciąża trojacza
O30.2;Ciąża czworacza
O30.8;Inna ciąża mnoga
O31.1;Dalsze trwanie ciąży po poronieniu jednego lub więcej płodów
O31.2;Dalsze trwanie ciąży po obumarciu (śmierci wewnąrzmacicznej) jednego lub więcej płodów
O32.2;Opieka położnicza z powodu położenia poprzecznego lub skośnego
O33.5;Opieka położnicza z powodu niewspółmierności porodowej spowodowanej niezwykle dużym płodem
O33.6;Opieka położnicza z powodu niewspółmierności porodowej spowodowanej płodem z wodogłowiem
O34.0;Opieka położnicza z powodu wrodzonych wad rozwojowych macicy
O34.1;Opieka położnicza z powodu guza trzonu macicy
O34.3;Opieka położnicza z powodu niewydolności szyjkowej
O34.8;Opieka położnicza z powodu innych nieprawidłowości narządów miednicy
O35.0;Opieka położnicza z powodu (podejrzewanej) wady rozwojowej ośrodkowego układu nerwowego u płodu
O35.3;Opieka położnicza z powodu (podejrzewanego) uszkodzenia płodu w następstwie choroby wirusowej u matki
O35.4;Opieka położnicza z powodu (podejrzewanego) uszkodzenia płodu przez alkohol
O35.5;Opieka położnicza z powodu (podejrzewanego) uszkodzenia płodu przez leki
O35.6;Opieka położnicza z powodu (podejrzewanego) uszkodzenia płodu wywołanego napromienieniem
O35.7;Opieka położnicza z powodu (podejrzewanego) uszkodzenia płodu spowodowanego innym postępowaniem lekarskim
O35.8;Opieka położnicza z powodu innego (podejrzewanego) uszkodzenia lub nieprawidłowości płodu
O36.0;Opieka położnicza z powodu izoimmunizacji czynnikiem rh
O36.1;Opieka położnicza z powodu izoimmunizacji na inne czynniki
O36.2;Opieka położnicza z powodu uogólnionego obrzęku płodu
O36.5;Opieka położnicza z powodu niskiej masy płodu
O36.6;Opieka położnicza z powodu nadmiernej masy płodu
O36.7;Opieka położnicza z powodu żywego płodu w ciąży brzusznej
O40;Wielowodzie
O41.0;Małowodzie
O41.1;Zakażenia pęcherza płodowego i błon płodowych
O42.2;Przedwczesne pęknięcie błon płodowych, czynność porodowa opóźniona w wyniku działań leczniczych
O42.9;Przedwczesne pęknięcie błon płodowych, nieokreślone
O43.0;Zespoły przetoczenia łożyskowego
O43.1;Wada rozwojowa łożyska
O44.0;Łożysko przodujące, bez krwawienia
O44.1;Łożysko przodujące, z krwawieniem
O45.0;Przedwczesne oddzielenie łożyska, z zaburzeniami krzepnięcia
O45.8;Inne przedwczesne oddzielenie łożyska
O46.0;Krwawienie przedporodowe, z zaburzeniami krzepnięcia
O46.8;Inne krwawienie przedporodowe
O47.0;Poród fałszywy przed ukończeniem 37 tygodnia ciąży
O47.1;Poród fałszywy w 37 tygodniu ciąży lub później
O60;Poród przedwczesny
O61.0;Nieskuteczne farmakologiczne wzniecanie czynności porodowej
O61.1;Nieskuteczne instrumentalne wzniecanie czynności porodowej
O61.8;Inne nieskuteczne wzniecanie czynności porodowej
O62.0;Pierwotne słabe skurcze macicy
O62.1;Wtórnie słaba czynność skurczowa macicy
O62.2;Inne rodzaje słabej czynności skurczowej macicy
O62.3;Poród nagły (uliczny)
O62.4;Nieskoordynowane i przedłużone skurcze macicy z nadmiernym napięciem mięśnia macicy
O62.8;Inne nieprawidłowości czynności skurczowej macicy w czasie porodu
O62.9;Nieprawidłowość czynności skurczowej macicy w czasie porodu, nieokreślona
O63.0;Przedłużenie pierwszego okresu porodu
O63.1;Przedłużenie drugiego okresu porodu
O63.2;Opóźniony poród drugiego bliźniaka, trojaczka i.t.p.
O63.9;Przedłużenie czynności porodowej, nieokreślone
O64.0;Poród patologiczny spowodowany zaburzeniem w rotacji główki płodu
O64.1;Poród patologiczny z powodu położenia miednicowego
O64.2;Poród patologiczny z powodu ułożenia twarzowego
O64.3;Poród patologiczny z powodu ułożenia czołowego
O64.4;Poród patologiczny z powodu przodowania barków
O64.5;Poród patologiczny z powodu przodowania nieprawidłowego złożonego
O64.8;Poród patologiczny z powodu innych nieprawidłowych ułożeń lub ustawień płodu
O64.9;Poród patologiczny z powodu nieprawidłowego ułożenia lub ustawienia płodu, nieokreślone
O65.0;Niewspółmierność porodowa spowodowana przez zniekształcenie miednicy
O65.1;Niewspółmierność porodowa spowodowana przez miednicę ogólnie ścieśnioną
O65.2;Niewspółmierność porodowa spowodowana przez miednicę płaską
O65.3;Niewspółmierność porodowa spowodowana przez ścieśnienie próżni i wychodu miednicy
O65.4;Niewspółmierność porodowa płodowo-miednicza, nieokreślona
O65.5;Niewspółmierność porodowa spowodowana zmianami patologicznymi narządów miednicy matki
O65.8;Niewspółmierność porodowa spowodowana innymi anomaliami miednicy matki
O65.9;Niewspółmierność porodowa spowodowana nieprawidłowościami miednicy, nie określonymi
O66.1;Poród patologiczny wywołany przez bliźnięta zahaczone
O66.2;Poród patologiczny wywołany przez niezwykle duży płód
O66.3;Poród patologiczny wywołany przez inne nieprawidłowości płodu
O66.4;Nieskuteczna próba wywołania czynności porodowej, nieokreślona
O66.5;Nieskuteczne zastosowanie próżniociągu lub kleszczy z następowym porodem kleszczowym lub przez cięcie cesarskie
O66.8;Inny określony poród patologiczny
O66.9;Poród patologiczny, nieokreślony
O67.0;Krwawienie śródporodowe z zaburzeniami krzepnięcia
O67.8;Inne krwawienie śródporodowe
O67.9;Krwawienie śródporodowe, nieokreślone
O68.0;Czynność porodowa i poród powikłane przez nieprawidłową czynność serca płodu
O68.1;Czynność porodowa i poród powikłane przez obecność smółki w płynie owodniowym
O68.2;Czynność porodowa i poród powikłane przez nieprawidłową czynność serca, ze smółką w płynie owodniowym
O68.3;Czynność porodowa i poród powikłane przez biochemiczne wskaźniki zagrożenia płodu
O68.8;Czynność porodowa i poród powikłane przez inne objawy zagrożenia płodu
O68.9;Czynność porodowa i poród powikłany z zagrożeniem (stresem) płodu, nie określonym
O69.0;Poród powikłany przez wypadniecie pępowiny
O69.1;Poród powikłany przez pępowinę okręconą wokół szyi, z jej uciśnięciem
O69.2;Czynność porodowa i poród powikłane przez inne zapętlenie pępowiny
O69.3;Poród powikłany przez krótką pępowinę
O69.4;Poród powikłany przez naczynia przodujące
O69.5;Poród powikłany przez uszkodzenie naczyń pępowiny
O69.8;Poród powikłany przez inne nieprawidłowości pępowiny
O69.9;Poród powikłany przez nieprawidłowość pępowiny, nie określoną
O70.0;Pęknięcie krocza pierwszego stopnia w czasie porodu
O70.1;Pęknięcie krocza drugiego stopnia w czasie porodu
O70.2;Pęknięcie krocza trzeciego stopnia w czasie porodu
O70.3;Pęknięcie krocza czwartego stopnia w czasie porodu
O70.9;Pęknięcie krocza w czasie porodu, nieokreślone
O71.0;Pęknięcie macicy przed rozpoczęciem czynności porodowej
O71.1;Pęknięcie macicy w trakcie czynności porodowej
O71.2;Poporodowe wynicowanie macicy
O71.3;Pęknięcie szyjki macicy w czasie porodu
O71.4;Wysokie rozerwanie pochwy w czasie porodu
O71.5;Inne położnicze uszkodzenie narządów miednicy
O71.6;Położnicze uszkodzenie stawów i więzadeł miednicowych
O71.7;Krwiak miednicy z przyczyn położniczych
O71.8;Inny określony uraz położniczy
O71.9;Uraz położniczy, nieokreślony
O72.0;Krwotok w trzecim okresie porodu
O72.1;Inny bezpośredni krwotok poporodowy
O72.2;Późny i wtórny krwotok poporodowy
O72.3;Poporodowe zaburzenia krzepnięcia
O73.0;Zatrzymanie łożyska bez krwotoku
O73.1;Zatrzymanie resztk łożyska i błon płodowych, bez krwotoku
O74.0;Zachłystowe zapalenie płuc wywołane przez znieczulenie w trakcie czynności porodowej i porodu
O74.1;Inne powikłania płucne znieczulenia w trakcie czynności porodowej i porodu
O74.2;Powikłania sercowe znieczulenia w trakcie czynności porodowej lub porodu
O74.3;Powikłania ze strony ośrodkowego układu nerwowego
O74.4;Reakcje toksyczne na znieczulenie miejscowe w trakcie czynności porodowej lub porodu
O74.5;Ból głowy wywołany przez znieczulenie dokanałowe i nadoponowe w trakcie czynności porodowej i porodu
O74.6;Inne powikłania znieczulenia podpajęczego i nadoponowego w trakcie czynności porodowej i porodu
O74.7;Nieudana lub utrudniona intubacja w trakcie czynności porodowej lub porodu
O74.8;Inne powikłania znieczulenia w trakcie czynności porodowej i porodu
O74.9;Powikłanie znieczulenia w trakcie czynności porodowej i porodu, nieokreślone
O75.0;Stan zagrożenia matki w czasie czynności porodowej i porodu
O75.1;Wstrząs w czasie lub w następstwie czynności porodowej i porodu
O75.2;Gorączka w czasie porodu, niesklasyfikowana gdzie indziej
O75.3;Inne zakażenia w czasie porodu
O75.4;Inne powikłania operacji chirurgicznych i zabiegów położniczych
O75.5;Opóźniony poród po przebiciu pęcherza płodowego
O75.6;Opóżniony poród po samoistnym lub nie określonym pęknięciu pęcherza płodowego
O75.7;Poród pochwowy po uprzednim cięciu cesarskim
O75.8;Inne określone powikłania czynności porodowej i porodu
O75.9;Powikłanie czynności porodowej i porodu, nieokreślone
O80.0;Poród samoistny w ułożeniu podłużnym potylicowym
O80.1;Poród samoistny pośladkowy
O81.0;Poród przy pomocy kleszczy wyjściowych
O81.1;Poród przy pomocy kleszczy próżniowych
O81.2;Kleszcze próżniowe ze zwrotem główki
O81.4;Poród przy pomocy próżniociągu
O81.5;Poród przy pomocy kleszczy i próżniociągu
O82.0;Poród przez cięcie cesarskie z wyboru (planowany)
O82.1;Poród przez cięcie cesarskie ze wskazań nagłych
O82.2;Poród przez cięcie cesarskie z wycięciem macicy
O82.8;Inny poród pojedynczy przez cięcie cesarskie
O82.9;Poród przez cięcie cesarskie, nieokreślony
O83.0;Wydobycie pośladków, pomoc ręczna
O83.1;Inny poród pośladkowy z udzieleniem pomocy położniczej
O83.3;Poród żywego płodu w ciąży brzusznej
O83.4;Operacje pomniejszające objętość płodu
O83.8;Inny określony poród pojedynczy z udzieleniem pomocy
O84.0;Poród mnogi w całości samoistny
O84.1;Poród mnogi w całości przy pomocy kleszczy lub/i próżniociągu
O84.2;Poród mnogi w całości przez cięcie cesarskie
O84.8;Inny poród mnogi
O84.9;Poród mnogi, nieokreślony
O85;Zakażenie połogowe miejscowe i uogólnione
O86.3;Inne zakażenia dróg moczowo-płciowych w następstwie porodu
O86.8;Inne określone zakażenia połogowe
O87.1;Zakrzepica żył głębokich w czasie połogu
O87.3;Zakrzepica żył mózgowych w czasie połogu
O87.8;Inne powikłania ze strony układu żylnego w czasie połogu
O88.0;Zator powietrzny z przyczyn położniczych
O88.1;Zator płynem owodniowym
O88.2;Zator skrzepem krwi z przyczyn położniczych
O88.3;Zator ropny i septyczny z przyczyn położniczych
O88.8;Inny zator z przyczyn położniczych
O89.0;Powikłania płucne spowodowane znieczuleniem w czasie połogu
O89.1;Powikłania sercowe spowodowane znieczuleniem w czasie połogu
O89.2;Powikłania ze strony ośrodkowego układu nerwowego spowodowane znieczuleniem w czasie połogu
O89.3;Reakcje toksyczne na środki znieczulające w czasie połogu
O89.5;Inne powikłania znieczulenia podpajęczego i nadoponowego w czasie połogu
O90.3;Kardiomiopatia w czasie połogu
O90.4;Poporodowa ostra niewydolność nerek
O90.5;Poporodowe zapalenie gruczołu tarczowego
O98.0;Gruźlica wikłająca ciążę, poród i połóg
O98.1;Kiła wikłająca ciążę, poród i połóg
O98.4;Wirusowe zapalenie wątroby wikłające ciążę, poród i połóg
O98.5;Inne choroby wirusowe wikłające ciążę, poród i połóg
O98.6;Choroby pierwotniakowe wikłające ciążę, poród i połóg
O98.8;Inne choroby zakaźne i pasożytnicze u matki wikłające ciążę, poród i połóg
O98.9;Nie określone choroby zakaźne i pasożytnicze u matki wikłające ciążę, poród i połóg
O99.1;Inne choroby krwi i narządów krwiotwórczych oraz pewne zaburzenia mechanizmów odpornościowych wikłające ciążę, poród i połóg
O99.2;Choroby gruczołów dokrewnych, przemiany materii i zaburzenia odżywienia wikłające ciążę, poród i połóg
O99.3;Zaburzenia psychiczne i choroby układu nerwowego wikłające ciążę, poród i połóg
O99.4;Choroby układu krążenia wikłające ciążę, poród i połóg
O99.5;Choroby układu oddechowego wikłające ciążę, poród i połóg
O99.6;Choroby układu pokarmowego wikłające ciążę, poród i połóg
O99.7;Choroby skóry i tkanki podskórnej wikłające ciążę, poród i połóg
Q15.0;Jaskra wrodzona
Q20.0;Wspólny pień tętniczy
Q20.1;Odejście obu dużych naczyń z prawej komory
Q20.2;Odejście obu dużych naczyń z lewej komory
Q20.3;Nieprawidłowe połączenia komorowo-tętnicze
Q20.4;Odejście obu dużych naczyń serca z jednej komory
Q20.5;Nieprawidłowe połączenia przedsionkowo-komorowe
Q20.6;Izomeria uszek przedsionków serca
Q20.8;Inne wrodzone wady rozwojowe jam i połączeń sercowych
Q20.9;Wrodzona wada rozwojowa jam i połączeń sercowych, nieokreślona
Q21.0;Ubytek przegrody międzykomorowej
Q21.1;Ubytek przegrody międzyprzedsionkowej
Q21.2;Ubytek przegrody przedsionkowo-komorowej
Q21.3;Tetralogia fallota
Q21.8;Inna wrodzona wada rozwojowa przegród serca
Q21.9;Wrodzona wada przegrody serca, nieokreślona
Q22.0;Zarośnięcie zastawki pnia płucnego
Q22.1;Wrodzone zwężenie zastawki pnia płucnego
Q22.2;Wrodzona niedomykalność zastawki pnia płucnego
Q22.3;Inne wrodzone wady rozwojowe zastawki pnia płucnego
Q22.4;Wrodzone zwężenie zastawki trójdzielnej
Q22.5;Choroba Ebsteina
Q22.6;Zespół niedorozwoju prawej części serca
Q22.8;Inne wrodzone wady rozwojowe zastawki trójdzielnej
Q22.9;Wrodzona wada rozwojowa zastawki trójdzielnej, nieokreślona
Q23.0;Wrodzone zwężenie ujścia tętniczego lewego
Q23.1;Wrodzona niedomykalność zastawki aorty
Q23.2;Wrodzone zwężenie zastawki dwudzielnej
Q23.3;Wrodzona niedomykalność zastawki dwudzielnej
Q23.4;Zespół niedorozwoju lewej części serca
Q21.4;Ubytek przegrody aortalno-płucnej
Q23.8;Inne wrodzone wady rozwojowe zastawki aorty i zastawki dwudzielnej
Q23.9;Wrodzona wada zastawki aorty i zastawki dwudzielnej, nieokreślona
Q24.0;Prawostronne położenie serca
Q24.1;Serce lewostronne
Q24.2;Serce trójprzedsionkowe
Q24.3;Wrodzone zwężenie stożka tętniczego prawej komory
Q24.4;Wrodzone zwężenie ujścia tętniczego lewego podzastawkowe
Q24.5;Wada rozwojowa naczyń wieńcowych
Q24.6;Wrodzony blok serca
Q24.8;Inne określone wrodzone wady rozwojowe serca
Q24.9;Wrodzona wada rozwojowa serca, nieokreślona
Q25.0;Drożny przewód tętniczy
Q25.1;Zwężenie cieśni aorty
Q25.2;Zarośnięcie aorty
Q25.3;Zwężenie aorty
Q25.4;Inne wrodzone wady rozwojowe aorty
Q25.5;Zarośnięcie pnia płucnego
Q25.6;Zwężenie pnia płucnego
Q25.7;Inne wrodzone wady rozwojowe pnia płucnego
Q25.8;Inne wrodzone wady rozwojowe dużych tętnic
Q25.9;Wrodzona wada rozwojowa dużych tętnic, nieokreślona
Q26.0;Wrodzone zwężenie żyły głównej
Q26.1;Przetrwała płodowa lewa górna żyła główna
Q26.2;Całkowicie nieprawidłowe ujście żył płucnych
Q26.3;Częściowo nieprawidłowe ujście żył płucnych
Q26.4;Nieprawidłowe ujście żył płucnych, nieokreślone
Q26.5;Nieprawidłowe ujście żyły wrotnej
Q26.6;Przetoka pomiędzy żyłą wrotną a tętnicą wątrobową właściwą
Q26.8;Inne wrodzone wady rozwojowe dużych żył układowych
Q26.9;Wrodzona wada rozwojowa dużych żył, nieokreślona
Q27.0;Wrodzony brak i niedorozwój tętnicy pępkowej
Q27.1;Wrodzone zwężenie tętnicy nerkowej
Q27.2;Inne wrodzone wady rozwojowe tętnicy nerkowej
Q27.3;Wady rozwojowe połączeń tętniczo-żylnych obwodowych
Q27.4;Wrodzone rozszerzenie żył
Q27.8;Inne określone wrodzone wady rozwojowe obwodowego układu
Q27.9;Wrodzona wada układu naczyniowego obwodowego, nieokreślona
Q28.0;Wada rozwojowa połączeń tętniczo-żylnych naczyń przedmózgowych
Q28.1;Inne wady rozwojowe naczyń przedmózgowych
Q28.2;Tętniczo-żylne wady rozwojowe naczyń mózgowych
Q28.3;Inne wady rozwojowe naczyń mózgowych
Q28.8;Inne określone wady rozwojowe układu krążenia
Q28.9;Wady rozwojowe układu krążenia nieokreślone
Q30.0;Zarośnięcie nozdrzy
Q30.1;Agenezja lub niedorozwój nosa
Q30.2;Szczelina, rozdwojenie i rozszczep nosa
Q30.3;Wrodzona perforacja przegrody nosowej
Q30.8;Inne wrodzone wady rozwojowe nosa
Q30.9;Wrodzona wada rozwojowa nosa, nieokreślona
Q31.0;Przepona krtani (web of larynx)
Q31.1;Wrodzone zwężenie podgłośniowe
Q31.2;Niedorozwój krtani
Q31.3;Worek powietrzny krtani (laryngocoele)
Q31.4;Wrodzony świst krtaniowy
Q31.8;Inne wrodzone wady rozwojowe krtani
Q31.9;Wrodzona wada rozwojowa krtani, nieokreślona
Q32.0;Wrodzone rozmiękanie tchawicy
Q32.1;Inne wrodzone wady rozwojowe tchawicy
Q32.2;Wrodzone rozmiękanie oskrzeli
Q32.3;Wrodzone zwężenie oskrzela
Q32.4;Inne wrodzone wady rozwojowe oskrzeli
Q33.0;Wrodzona torbielowatość płuc
Q33.1;Dodatkowy płat płuca
Q33.2;Oddzielenie się (szczelina) płuca
